,基金代码
0,000001
1,000002
2,000003
3,000004
4,000005
5,000006
6,000008
7,000009
8,000010
9,000011
10,000012
11,000013
12,000014
13,000015
14,000016
15,000017
16,000020
17,000021
18,000024
19,000025
20,000028
21,000029
22,000030
23,000031
24,000032
25,000033
26,000037
27,000039
28,000041
29,000042
30,000043
31,000044
32,000045
33,000046
34,000047
35,000048
36,000049
37,000051
38,000053
39,000054
40,000055
41,000056
42,000057
43,000058
44,000059
45,000061
46,000063
47,000064
48,000065
49,000066
50,000067
51,000068
52,000069
53,000070
54,000071
55,000072
56,000073
57,000074
58,000075
59,000076
60,000077
61,000078
62,000079
63,000080
64,000081
65,000082
66,000083
67,000084
68,000085
69,000086
70,000087
71,000088
72,000089
73,000090
74,000103
75,000104
76,000105
77,000106
78,000107
79,000108
80,000109
81,000110
82,000111
83,000112
84,000116
85,000117
86,000118
87,000119
88,000120
89,000121
90,000122
91,000123
92,000124
93,000126
94,000127
95,000128
96,000129
97,000130
98,000131
99,000134
100,000135
101,000136
102,000137
103,000138
104,000139
105,000140
106,000141
107,000142
108,000143
109,000147
110,000148
111,000149
112,000150
113,000152
114,000153
115,000154
116,000155
117,000157
118,000158
119,000159
120,000160
121,000161
122,000162
123,000164
124,000165
125,000166
126,000167
127,000171
128,000172
129,000173
130,000174
131,000175
132,000176
133,000179
134,000180
135,000181
136,000182
137,000183
138,000184
139,000185
140,000186
141,000187
142,000188
143,000189
144,000190
145,000191
146,000192
147,000194
148,000195
149,000196
150,000197
151,000198
152,000199
153,000200
154,000201
155,000203
156,000204
157,000205
158,000206
159,000207
160,000208
161,000209
162,000210
163,000211
164,000212
165,000213
166,000214
167,000215
168,000216
169,000217
170,000218
171,000219
172,000220
173,000221
174,000222
175,000227
176,000235
177,000236
178,000239
179,000240
180,000241
181,000242
182,000244
183,000245
184,000246
185,000248
186,000251
187,000252
188,000253
189,000254
190,000255
191,000259
192,000263
193,000264
194,000265
195,000266
196,000267
197,000268
198,000270
199,000271
200,000272
201,000273
202,000274
203,000275
204,000277
205,000279
206,000286
207,000289
208,000290
209,000294
210,000295
211,000296
212,000297
213,000298
214,000299
215,000300
216,000301
217,000305
218,000306
219,000307
220,000308
221,000309
222,000310
223,000311
224,000312
225,000313
226,000314
227,000319
228,000320
229,000322
230,000324
231,000325
232,000326
233,000327
234,000328
235,000329
236,000330
237,000331
238,000332
239,000333
240,000334
241,000335
242,000336
243,000338
244,000339
245,000341
246,000342
247,000343
248,000345
249,000346
250,000347
251,000351
252,000352
253,000354
254,000355
255,000356
256,000359
257,000362
258,000363
259,000366
260,000367
261,000368
262,000369
263,000370
264,000371
265,000372
266,000373
267,000376
268,000377
269,000378
270,000379
271,000380
272,000381
273,000385
274,000386
275,000389
276,000390
277,000394
278,000395
279,000396
280,000397
281,000398
282,000402
283,000403
284,000404
285,000406
286,000407
287,000408
288,000409
289,000410
290,000411
291,000414
292,000415
293,000416
294,000417
295,000418
296,000419
297,000420
298,000423
299,000424
300,000425
301,000431
302,000432
303,000433
304,000434
305,000436
306,000439
307,000452
308,000457
309,000458
310,000459
311,000462
312,000463
313,000464
314,000465
315,000469
316,000470
317,000471
318,000472
319,000475
320,000476
321,000477
322,000478
323,000480
324,000481
325,000483
326,000484
327,000487
328,000488
329,000489
330,000490
331,000493
332,000494
333,000495
334,000496
335,000497
336,000501
337,000502
338,000503
339,000504
340,000505
341,000506
342,000507
343,000508
344,000509
345,000511
346,000512
347,000513
348,000514
349,000516
350,000517
351,000520
352,000521
353,000522
354,000523
355,000524
356,000526
357,000527
358,000528
359,000529
360,000530
361,000531
362,000532
363,000533
364,000534
365,000535
366,000536
367,000538
368,000539
369,000540
370,000541
371,000542
372,000543
373,000545
374,000546
375,000547
376,000548
377,000549
378,000550
379,000551
380,000552
381,000553
382,000554
383,000556
384,000557
385,000559
386,000560
387,000561
388,000562
389,000563
390,000564
391,000566
392,000567
393,000569
394,000572
395,000573
396,000574
397,000575
398,000576
399,000577
400,000578
401,000579
402,000580
403,000581
404,000583
405,000584
406,000585
407,000586
408,000587
409,000588
410,000589
411,000590
412,000591
413,000592
414,000593
415,000594
416,000595
417,000596
418,000597
419,000598
420,000599
421,000600
422,000601
423,000602
424,000603
425,000604
426,000605
427,000606
428,000607
429,000609
430,000612
431,000613
432,000614
433,000615
434,000618
435,000619
436,000620
437,000621
438,000625
439,000626
440,000627
441,000628
442,000634
443,000635
444,000638
445,000639
446,000640
447,000641
448,000642
449,000644
450,000645
451,000646
452,000647
453,000648
454,000649
455,000650
456,000651
457,000652
458,000654
459,000655
460,000656
461,000657
462,000658
463,000659
464,000660
465,000661
466,000662
467,000663
468,000664
469,000665
470,000667
471,000668
472,000669
473,000672
474,000673
475,000674
476,000677
477,000678
478,000679
479,000681
480,000682
481,000683
482,000684
483,000686
484,000687
485,000688
486,000689
487,000690
488,000692
489,000693
490,000694
491,000696
492,000697
493,000698
494,000699
495,000700
496,000701
497,000704
498,000705
499,000706
500,000707
501,000708
502,000709
503,000710
504,000711
505,000712
506,000713
507,000714
508,000715
509,000716
510,000717
511,000718
512,000719
513,000720
514,000721
515,000722
516,000724
517,000725
518,000726
519,000727
520,000728
521,000729
522,000730
523,000731
524,000734
525,000735
526,000736
527,000737
528,000739
529,000740
530,000741
531,000742
532,000743
533,000744
534,000745
535,000746
536,000747
537,000748
538,000750
539,000751
540,000753
541,000754
542,000755
543,000756
544,000757
545,000758
546,000759
547,000760
548,000761
549,000762
550,000763
551,000764
552,000767
553,000771
554,000772
555,000773
556,000778
557,000779
558,000780
559,000783
560,000784
561,000785
562,000786
563,000787
564,000788
565,000789
566,000790
567,000791
568,000792
569,000793
570,000794
571,000795
572,000796
573,000797
574,000799
575,000800
576,000801
577,000802
578,000803
579,000804
580,000805
581,000808
582,000809
583,000810
584,000812
585,000814
586,000815
587,000816
588,000817
589,000818
590,000822
591,000823
592,000824
593,000825
594,000826
595,000827
596,000828
597,000829
598,000830
599,000831
600,000832
601,000833
602,000834
603,000835
604,000836
605,000837
606,000839
607,000840
608,000841
609,000842
610,000843
611,000844
612,000845
613,000846
614,000847
615,000848
616,000849
617,000850
618,000854
619,000855
620,000856
621,000857
622,000860
623,000861
624,000862
625,000863
626,000866
627,000867
628,000868
629,000869
630,000870
631,000871
632,000872
633,000873
634,000874
635,000875
636,000876
637,000877
638,000878
639,000879
640,000880
641,000882
642,000883
643,000884
644,000891
645,000892
646,000893
647,000894
648,000895
649,000896
650,000897
651,000898
652,000899
653,000903
654,000904
655,000905
656,000906
657,000907
658,000908
659,000910
660,000911
661,000912
662,000913
663,000914
664,000916
665,000917
666,000920
667,000921
668,000922
669,000923
670,000924
671,000925
672,000926
673,000927
674,000928
675,000929
676,000930
677,000931
678,000932
679,000933
680,000934
681,000935
682,000936
683,000939
684,000940
685,000942
686,000943
687,000944
688,000945
689,000946
690,000948
691,000950
692,000953
693,000954
694,000955
695,000960
696,000961
697,000962
698,000963
699,000965
700,000966
701,000967
702,000968
703,000969
704,000970
705,000971
706,000972
707,000973
708,000974
709,000975
710,000976
711,000977
712,000978
713,000979
714,000980
715,000981
716,000982
717,000985
718,000986
719,000988
720,000989
721,000990
722,000991
723,000992
724,000993
725,000994
726,000995
727,000996
728,000997
729,000998
730,001000
731,001001
732,001002
733,001003
734,001004
735,001006
736,001007
737,001008
738,001009
739,001010
740,001011
741,001013
742,001015
743,001016
744,001017
745,001018
746,001019
747,001021
748,001023
749,001026
750,001027
751,001028
752,001030
753,001031
754,001033
755,001035
756,001036
757,001037
758,001039
759,001040
760,001042
761,001043
762,001044
763,001045
764,001046
765,001047
766,001048
767,001050
768,001051
769,001052
770,001053
771,001054
772,001056
773,001057
774,001058
775,001059
776,001060
777,001061
778,001063
779,001064
780,001065
781,001066
782,001067
783,001068
784,001069
785,001070
786,001071
787,001072
788,001073
789,001074
790,001075
791,001076
792,001077
793,001078
794,001086
795,001087
796,001088
797,001092
798,001093
799,001094
800,001095
801,001096
802,001097
803,001101
804,001102
805,001103
806,001104
807,001105
808,001106
809,001110
810,001111
811,001112
812,001113
813,001115
814,001116
815,001117
816,001118
817,001120
818,001121
819,001122
820,001123
821,001124
822,001125
823,001126
824,001127
825,001128
826,001133
827,001134
828,001135
829,001136
830,001139
831,001140
832,001141
833,001142
834,001143
835,001144
836,001146
837,001147
838,001148
839,001149
840,001150
841,001151
842,001152
843,001153
844,001154
845,001156
846,001157
847,001158
848,001162
849,001163
850,001164
851,001165
852,001166
853,001167
854,001170
855,001171
856,001172
857,001173
858,001174
859,001175
860,001176
861,001177
862,001178
863,001179
864,001180
865,001181
866,001182
867,001183
868,001184
869,001185
870,001186
871,001187
872,001188
873,001189
874,001190
875,001191
876,001192
877,001193
878,001194
879,001195
880,001196
881,001197
882,001198
883,001199
884,001200
885,001201
886,001202
887,001203
888,001204
889,001208
890,001209
891,001210
892,001211
893,001212
894,001213
895,001214
896,001215
897,001216
898,001217
899,001218
900,001219
901,001220
902,001222
903,001223
904,001224
905,001225
906,001226
907,001227
908,001228
909,001229
910,001230
911,001231
912,001232
913,001233
914,001234
915,001235
916,001236
917,001237
918,001239
919,001240
920,001241
921,001242
922,001243
923,001244
924,001245
925,001246
926,001247
927,001249
928,001250
929,001251
930,001252
931,001254
932,001255
933,001256
934,001257
935,001258
936,001261
937,001265
938,001266
939,001267
940,001268
941,001270
942,001271
943,001272
944,001273
945,001274
946,001275
947,001276
948,001277
949,001278
950,001279
951,001280
952,001281
953,001282
954,001283
955,001284
956,001285
957,001286
958,001287
959,001289
960,001291
961,001294
962,001296
963,001297
964,001298
965,001299
966,001300
967,001301
968,001302
969,001303
970,001304
971,001305
972,001306
973,001307
974,001308
975,001309
976,001311
977,001312
978,001313
979,001314
980,001315
981,001316
982,001318
983,001319
984,001320
985,001322
986,001323
987,001324
988,001325
989,001326
990,001327
991,001328
992,001329
993,001330
994,001331
995,001332
996,001334
997,001335
