,序号,ID,姓名,所属公司ID,所属公司,基金ID,现任基金,累计从业时间,现任基金资产总规模,现任基金最佳回报
506,507,30653672,郭振宇,80092233,农银汇理基金,"005921,006758,007496,007888,008030,008216,010653,011968,012430,014242","农银汇理金鑫3个月定开债,农银汇理金禄债券,农银汇理丰泽三年定开债,农银汇理金盈债券,农银汇理金益债券,农银汇理彭博1-3年利率债指数,农银汇理金玉债券,农银汇理金盛债券,农银瑞康6个月持有混合,农银汇理悦利债券",1193,423.46,14.31
507,508,30139227,黄安乐,80064225,工银瑞信基金,"000793,011884,011885,013312,481010,481015","工银高端制造股票,工银景气优选混合A,工银景气优选混合C,工银主题策略混合C,工银中小盘混合,工银主题策略混合A",3821,47.74,233.86
508,509,30574575,HAN YILING,80066470,中信保诚基金,"013120,013121,165515,165521","信诚沪深300指数(LOF)C,信诚中证800金融(LOF)C,信诚沪深300指数(LOF)A,信诚中证800金融(LOF)A",1491,3.78,21.34
509,510,30342558,韩冰,80036782,招商基金,"001531,014185,014186,217013","招商安益灵活配置混合,招商专精特新股票A,招商专精特新股票C,招商中小盘混合",2562,11.26,75.63
510,511,30466187,黄飙,80446423,金信基金,002863,金信深圳成长混合发起式,351,0.44,-4.72
511,512,30566687,何博,80000231,融通基金,003279,融通沪港深智慧生活灵活配置混合,1586,0.13,-3.43
512,513,30683330,黄波,80048088,光大保德信基金管理,"001903,001904,001939,002075,002405,002406,003107,003108,005444,005656,005657,010600,010601,012027,012028,360008,360009,360013,360014","光大欣鑫混合A,光大欣鑫混合C,光大睿鑫混合A,光大睿鑫混合C,光大中高等级债券A,光大中高等级债券C,光大安祺债券A,光大安祺债券C,光大多策略精选混合,光大安泽债券A,光大安泽债券C,光大安瑞一年持有A,光大安瑞一年持有C,光大安阳一年持有期混合A,光大安阳一年持有期混合C,光大增利收益债券A,光大增利收益债券C,光大信用添益债券A,光大信用添益债券C",944,178.67,45.26
513,514,30743444,何彪,80053708,汇添富基金,"004270,004271,004687,004688,004774,008398","汇添富民丰回报混合A,汇添富民丰回报混合C,汇添富熙和精选混合A,汇添富熙和精选混合C,汇添富添福吉祥混合,汇添富鑫福债",249,11.14,0.71
514,515,30182414,何斌,80184574,上海海通证券资产管理,"851810,851816","海通鑫选三个月持有债券A,海通鑫选三个月持有债券C",141,1.78,-4.75
515,516,30569884,黄斌斌,80000220,南方基金,"004555,004556,004705,004706,005469,005470,006653,006915,006916,007706,007707,008509,008745","南方和元A,南方和元C,南方祥元债券A,南方祥元债券C,南方浙利定开债券,南方乾利定开债,南方畅利定开债发起式,南方亨元债券A,南方亨元债券C,南方聪元债券A,南方聪元债券C,南方得利一年定开债,南方尊利一年债券",1551,362.69,24.37
516,517,30647388,韩创,80000225,大成基金,"001300,001301,002258,010826,010827,012519,012520,013435,013436,014224,014225,090018","大成睿景灵活配置混合A,大成睿景灵活配置混合C,大成国企改革灵活配置混合,大成产业趋势混合A,大成产业趋势混合C,大成核心趋势混合A,大成核心趋势混合C,大成景气精选六个月持有混合A,大成景气精选六个月持有混合C,大成聚优成长混合A,大成聚优成长混合C,大成新锐产业混合",1216,295.98,304.46
517,518,30682077,胡超,80041198,天弘基金,"007721,007722,008763,008764,009225,009226,012348,012349,012559,012560,012989,012990,013888,013889,014564,014565,517280,517380,517390,517660","天弘标普500(QDII-FOF)A,天弘标普500(QDII-FOF)C,天弘越南市场股票(QDII)A,天弘越南市场股票(QDII)C,天弘中证中美互联网(QDII)A,天弘中证中美互联网(QDII)C,天弘恒生科技指数(QDII)A,天弘恒生科技指数(QDII)C,天弘中证沪港深科技龙头指数A,天弘中证沪港深科技龙头指数C,天弘国证港股通50指数A,天弘国证港股通50指数C,天弘新华沪港深新兴消费品牌指数A,天弘新华沪港深新兴消费品牌指数C,天弘恒生沪深港创新药精选50ETF发起联接A,天弘恒生沪深港创新药精选50ETF发起联接C,天弘中证沪港深线上消费主题ETF,天弘恒生沪深港创新药精选50ETF,天弘中证沪港深云计算产业ETF,天弘中证沪港深物联网主题ETF",959,84.64,47.03
518,519,30138925,黄春逢,80000220,南方基金,"002293,004702,005397,006541,008736,008737,010879,010880,013500,202005,202212","南方益和混合,南方金融主题灵活配置混合A,南方安养混合,南方成份精选混合C,南方高股息股票A,南方高股息股票C,南方宝升混合A,南方宝升混合C,南方金融主题灵活配置混合C,南方成份精选混合A,南方平衡配置混合",2323,86.95,61.52
519,520,30657596,胡崇海,80156175,上海国泰君安资管,"014155,014156","国泰君安中证500指数增强A,国泰君安中证500指数增强C",146,10.44,-16.04
520,521,30686999,何崇恺,80000229,易方达基金,"001475,110005","易方达国防军工混合,易方达积极成长混合",894,217.07,120.24
521,522,30572637,胡春霞,80280036,圆信永丰基金,"004148,004934,006969","圆信永丰多策略,圆信永丰消费升级,圆信永丰高端制造混合",1510,15.24,46.99
522,523,30360647,黄成扬,80061674,泰康资产,"002653,003580,012288,012289","泰康沪港深精选混合,泰康沪港深价值优选混合,泰康沪港深成长混合A,泰康沪港深成长混合C",2485,12.39,28.16
523,524,30405174,侯春燕,80000225,大成基金,160910,大成创新成长混合(LOF),2344,12.71,51.2
524,525,30183081,黄栋,80000237,银河基金,"007275,007276","银河沪深300指数增强A,银河沪深300指数增强C",2760,2.17,-16.71
525,526,30422103,韩冬,80145102,东方红资产管理,"000970,001112","东方红睿元混合,东方红中国优势混合",2300,75.29,87.13
526,527,30550394,胡迪,80050229,上投摩根基金,"001219,004606,005051,005052,005120,005613,005614,005615,008944,008945,370023,513890,515770,517960,560900","上投摩根动态多因子混合,上投摩根优选多因子股票,上投标普港股通低波红利指数A,上投标普港股通低波红利指数C,上投摩根量化多因子混合,上投富时发达市场REITs,上投富时发达市场REITs美钞,上投富时发达市场REITs美汇,上投摩根MSCI中国A股ETF联接A,上投摩根MSCI中国A股ETF联接C,上投摩根中证消费服务指数,上投摩根恒生科技ETF(QDII),上投摩根MSCI中国A股ETF,上投摩根中证沪港深科技100ETF,上投摩根中证创新药产业ETF",488,16.79,9.43
527,528,30739940,华达,80000028,国联证券,"970056,970057,970084,970085,970109,970110,970111,970159","国联金如意3个月滚动持有债A,国联金如意3个月滚动持有债C,国联汇富债券A,国联汇富债券C,国联金如意双利一年持有债券A,国联金如意双利一年持有债券B,国联金如意双利一年持有债券C,国联现金添利货币",295,26.97,4.11
528,529,30745823,黄鼎,80064562,交银施罗德基金,519732,交银定期支付双息平衡混合,223,40.83,-18.37
529,530,30751629,侯丹琳,80065113,中欧基金,012282,中欧睿智精选一年混合(FOF),165,29.37,-18.69
530,531,30387290,韩冬燕,80049689,诺安基金,"001528,006429,320011,320015","诺安先进制造股票,诺安恒鑫混合,诺安中小盘精选混合,诺安行业轮动混合",2378,8.21,108.39
531,532,30044828,黄峰,80000246,海富通基金,"010220,010221,010286,010287,010421,010422,519011,519015,519056","海富通消费核心混合A,海富通消费核心混合C,海富通成长价值混合A,海富通成长价值混合C,海富通消费优选混合A,海富通消费优选混合C,海富通精选混合,海富通精选贰号混合,海富通内需热点混合",2701,43.4,74.38
532,533,30567939,黄芳,80000222,华夏基金,"002230,012884,160322","华夏大中华混合(QDII),华夏港股通精选股票发起式(LOF)C,华夏港股通精选股票发起式(LOF)A",1574,14.74,-12.93
533,534,30732865,马赛,80168726,平安基金,180201,平安广州广河REIT,337,88.75,
534,535,30732866,孙磊,80168726,平安基金,180201,平安广州广河REIT,337,88.75,
535,536,30732864,韩飞,80168726,平安基金,180201,平安广州广河REIT,337,88.75,
536,537,30196981,韩广哲,80000245,金鹰基金,"001298,001951,004040,004041,011260,011261,012541,012542,014119,014120,210008","金鹰民族新兴混合,金鹰改革红利混合,金鹰医疗健康产业A,金鹰医疗健康产业C,金鹰新能源混合A,金鹰新能源混合C,金鹰产业升级混合A,金鹰产业升级混合C,金鹰时代先锋混合A,金鹰时代先锋混合C,金鹰策略配置混合",1420,95.47,115.72
537,538,30050327,黄海,80000240,万家基金,"015566,519185,519191,519212","万家精选混合C,万家精选混合A,万家新利灵活配置混合,万家宏观择时多策略混合",594,12.9,9.48
538,539,30368716,韩浩,80508391,中航基金,"004926,004927,004936,004937,005537,005538","中航军民融合精选A,中航军民融合精选C,中航混改精选混合A,中航混改精选混合C,中航新起航灵活配置混合A,中航新起航灵活配置混合C",1608,1.9,40.74
539,540,30379533,侯昊,80036782,招商基金,"004408,004410,011853,011854,012414,012417,013195,013196,013596,014028,159701,159843,161715,161723,161724,161725,161726,217016,217027","招商深证100指数C,招商央视财经50指数C,招商中证消费龙头指数增强A,招商中证消费龙头指数增强C,招商中证白酒指数(LOF)C,招商国证生物医药指数(LOF)C,招商中证新能源汽车指数A,招商中证新能源汽车指数C,招商中证煤炭等权指数(LOF)C,招商中证银行指数C,招商中证物联网主题ETF,招商国证食品饮料ETF,招商大宗商品(LOF),招商中证银行指数A,招商中证煤炭等权指数(LOF)A,招商中证白酒指数(LOF)A,招商国证生物医药指数(LOF)A,招商深证100指数A,招商央视财经50指数A",1722,921.87,189.34
540,541,30525553,黄华,80065113,中欧基金,"001164,001165,002961,002962,004442,004455,009515,009516,009621,009622,009753,009754,010900,010901,012145,012146,012281,013912,013913","中欧琪和灵活配置混合A,中欧琪和灵活配置混合C,中欧双利债券A,中欧双利债券C,中欧康裕混合A,中欧康裕混合C,中欧真益稳健一年混合A,中欧真益稳健一年混合C,中欧心益稳健6个月混合A,中欧心益稳健6个月混合C,中欧美益稳健两年混合A,中欧美益稳健两年混合C,中欧生益稳健一年混合A,中欧生益稳健一年混合C,中欧稳宁9个月持有债券A,中欧稳宁9个月持有债券C,中欧精益稳健一年持有混合,中欧招益稳健一年持有混合A,中欧招益稳健一年持有混合C",1873,225.55,36.31
541,542,30657882,黄河,80000220,南方基金,"000561,000562,007161,008510,011910,013036,013197,202305","南方启元债券A,南方启元债券C,南方恒庆一年定开债,南方鼎利一年债券,南方臻利3个月定开债券发起,南方旺元60天滚动持有中短债C,南方兴锦利一年定开债,南方旺元60天滚动持有中短债A",1152,148.17,11.25
542,543,30716591,黄昊,80560407,朱雀基金,"010141,010142,011531","朱雀企业优选A,朱雀企业优选C,朱雀恒心一年持有混合",558,103.48,-5.23
543,544,30710524,黄皓,80384640,九泰基金,"001305,001782,001844,009912","九泰天富改革混合A,九泰久益混合A,九泰久益混合C,九泰天富改革混合C",636,6.07,21.83
544,545,30733001,胡海滨,80000226,博时基金,180101,博时蛇口产园REIT,337,20.81,
545,546,30194681,黄浩东,80468996,前海联合,"003174,003180,003181,006203,006204,007038,007327,007338,008012,008013,008636,008703,009349,009350,011290,011291","前海联合添惠纯债A,前海联合添利债券A,前海联合添利债券C,新疆前海联合泳祺纯债A,新疆前海联合泳祺纯债C,前海联合添惠纯债C,前海联合泳辉纯债A,前海联合泳辉纯债C,前海联合淳丰87个月定开债A,前海联合淳丰87个月定开债C,前海联合泰瑞纯债A,前海联合泰瑞纯债C,前海联合添泽债券A,前海联合添泽债券C,前海联合添瑞一年持有混合A,前海联合添瑞一年持有混合C",875,142.55,12.59
546,547,30320992,黄海峰,80000226,博时基金,"000084,000085,000783,000784,002175,002404,002716,002812,003188,005195,005196,005462,007845,008117,010973,013931,014004","博时安盈债券A,博时安盈债券C,博时季季享持有期A,博时季季享持有期B,博时裕乾纯债A,博时裕乾纯债C,博时裕通定开债A,博时裕通定开债C,博时聚源纯债债券A,博时合丰货币A,博时合丰货币B,博时富业3个月定开债,博时季季享持有期C,博时稳欣39个月定开债,博时聚源纯债债券C,博时富恒一年定开债发起式,博时富璟纯债一年定开债",2575,701.19,19.9
547,548,30459972,黄海浩,80355113,中信建投基金,"000503,000504,001006,004553,009236,012035","中信建投景和中短债A,中信建投景和中短债C,中信建投凤凰货币A,中信建投凤凰货币B,中信建投稳泰一年定开债券,中信建投稳骏一年定开发起式债券",2176,53.08,18.62
548,549,30180167,洪慧梅,80065113,中欧基金,"001776,005736,009519,009520,012897,013283,166010","中欧兴利债券A,中欧兴华债券,中欧鼎利债券E,中欧鼎利债券C,中欧兴利债券C,中欧兴盈一年定开债券发起,中欧鼎利债券A",2285,93.63,22.47
549,550,30528404,霍华明,80000248,广发基金,"000942,000968,001064,001180,002974,002978,002982,002984,003017,005223,005224,005693,008986,008987,012804,012805,159938,159939,512580,512680,516970,518600","广发信息技术联接A,广发养老指数A,广发中证环保ETF联接A,广发医药卫生联接A,广发信息技术联接C,广发医药卫生联接C,广发养老指数C,广发中证环保ETF联接C,广发中证军工ETF联接A,广发中证基建工程ETF联接A,广发中证基建工程ETF联接C,广发中证军工ETF联接C,广发上海金ETF联接A,广发上海金ETF联接C,广发恒生科技指数(QDII)A,广发恒生科技指数(QDII)C,广发中证全指医药卫生ETF,广发中证全指信息技术ETF,广发中证环保ETF,广发中证军工ETF,广发中证基建工程ETF,广发上海金ETF",1846,326.85,84.3
550,551,30040976,韩海平,80066470,中信保诚基金,"003282,003283,009730,009731,011525,011526,011713,011714,165517,550004,550005","信诚至裕灵活配置混合A,信诚至裕灵活配置混合C,中信保诚安鑫回报债券A,中信保诚安鑫回报债券C,中信保诚丰裕一年持有期混合A,中信保诚丰裕一年持有期混合C,中信保诚盛裕一年持有混合A,中信保诚盛裕一年持有混合C,信诚双盈债券(LOF),信诚三得益债券A,信诚三得益债券B",4256,153.24,22.01
551,552,30547038,黄浩荣,80000231,融通基金,"002049,002605,002612,002788,002807,002825,002869,003650,004398,004399,005289,007387,008837,161608,161615,161622,161623,511910","融通新机遇灵活配置混合,融通新消费灵活配置混合,融通通慧混合A/B,融通现金宝货币A,融通通安债券,融通通和债券,融通通裕定开债,融通通润债券,融通现金宝货币B,融通汇财宝货币E,融通通昊三个月定开债,融通通慧混合C,融通通益混合,融通易支付货币A,融通易支付货币B,融通汇财宝货币A,融通汇财宝货币B,融通易支付货币E",1747,715.11,35.21
552,553,30056566,韩晶,80000237,银河基金,"005386,005387,005790,151002,519610,519611,519612,519640,519641,519647,519648,519654,519660,519661,519675","银河睿达灵活配置混合A,银河睿达灵活配置混合C,银河景行3个月定开债,银河收益混合,银河旺利混合A,银河旺利混合C,银河旺利混合I,银河鸿利混合A,银河鸿利混合C,银河鸿利混合I,银河泰利纯债I,银河丰利纯债债券,银河增利债券A,银河增利债券C,银河泰利纯债A",4499,42.39,143.62
553,554,30159168,胡剑,80000229,易方达基金,"000032,000033,000147,000148,000436,001512,003214,003358,005124,005740,006112,007104,007884,008008,009803,110007,110008,161115","易方达信用债债券A,易方达信用债债券C,易方达高等级信用债债券A,易方达高等级信用债债券C,易方达裕惠定开混合发起式,易方达中债3-5年期国债指数,易方达富惠纯债债券,易方达中债7-10年国开债A,易方达恒益定开债券发起式,易方达恒信定期开放债券,易方达恒惠定开债,易方达恒利定期开放债券,易方达恒盛3个月定开混合,易方达稳健收益债券C,易方达中债7-10年国开债C,易方达稳健收益债券A,易方达稳健收益债券B,易方达岁丰添利债券(LOF)",3723,1311.63,149.88
554,555,30181965,何晶,80000237,银河基金,"007155,008563,008564,012296,161505,161506,519629,519630,519662,519663","银河中债央企20债券指数,银河臻优稳健配置混合A,银河臻优稳健配置混合C,银河兴益一年定开债券,银河通利债券(LOF)A,银河通利债券(LOF)C,银河睿利混合A,银河睿利混合C,银河久益回报6个月定开A,银河久益回报6个月定开C",2084,55.93,51.13
555,556,30191326,胡洁,80000250,华宝基金,"005125,006098,006697,007531,007873,007874,009329,012323,012811,013317,013318,162412,240019,501029,501086,501090,512000,512170,512800,512810,515000,516130,588330","华宝标普中国A股红利机会指数C,华宝券商ETF联接A,华宝中证银行ETF联接C,华宝券商ETF联接C,华宝科技ETF联接A,华宝科技ETF联接C,华宝中证消费龙头指数(LOF)C,华宝医疗ETF联接C,华宝MSCI中国A股国际通(LOF)C,华宝中证科创创业50ETF联接A,华宝中证科创创业50ETF联接C,华宝医疗ETF联接A,华宝中证银行ETF联接A,华宝标普中国A股红利机会指数A,华宝MSCI中国A股国际通(LOF)A,华宝中证消费龙头指数(LOF)A,华宝券商ETF,华宝中证医疗ETF,华宝中证银行ETF,华宝中证军工ETF,华宝中证科技龙头ETF,华宝中证消费龙头ETF,华宝双创龙头ETF",3493,660.3,90.53
556,557,30386910,黄俊,80000220,南方基金,"006290,006291,007159,007160,009573","南方养老2035(FOF)A,南方养老2035(FOF)C,南方稳健养老(FOF)A,南方稳健养老(FOF)C,南方养老2045三年持有混合(FOF)",2111,13.78,48.7
557,558,30491426,黄静,80357951,广发资产管理,"870015,872015,872016,872017","广发资管昭利中短债,广发资管昭利中短债A,广发资管昭利中短债B,广发资管昭利中短债C",922,5.07,8.16
558,559,30574711,何杰,80168726,平安基金,"009878,009879","平安低碳经济混合A,平安低碳经济混合C",1361,24.82,-22.87
559,560,30657417,黄珺,80048752,中银基金,"009414,010321,010962,010965,014505,015386,163804,163822","中银大健康股票A,中银大健康股票C,中银鑫新消费成长混合C,中银鑫新消费成长混合A,中银收益混合C,中银主题策略混合C,中银收益混合A,中银主题策略混合A",1154,36.55,124.74
560,561,30607367,侯杰,80036782,招商基金,"002657,002658,004932,004933,008456,008457,008791,008792,010688,010689,011397,011398,011791,011792,012998,012999,013548,013549,015206","招商安裕灵活配置混合A,招商安裕灵活配置混合C,招商丰拓灵活混合A,招商丰拓灵活混合C,招商瑞阳混合A,招商瑞阳混合C,招商安华债券A,招商安华债券C,招商瑞德一年持有期混合A,招商瑞德一年持有期混合C,招商瑞和1年持有期混合A,招商瑞和1年持有期混合C,招商瑞盈9个月持有期混合A,招商瑞盈9个月持有期混合C,招商稳旺混合A,招商稳旺混合C,招商享利增强债券A,招商享利增强债券C,招商安裕灵活配置混合D",1288,582.17,59.54
561,562,30675544,何江,80106677,民生加银基金,"004532,004533,008291,008292,009904,009905,011607,012926,012927,013031,013032,013371,013372,515350,516930,560650,690008","民生加银中证港股通指数A,民生加银中证港股通指数C,民生加银沪深300ETF联接A,民生加银沪深300ETF联接C,民生加银中证200指数增强A,民生加银中证200指数增强C,民生中证内地资源主题指数C,民生加银中证500指数增强A,民生加银中证500指数增强C,民生加银中证800指数增强发起式A,民生加银中证800指数增强发起式C,民生加银新能源智选混合发起A,民生加银新能源智选混合发起C,民生加银沪深300ETF,民生加银中证生物科技主题ETF,民生加银中证企业核心竞争力50ETF,民生中证内地资源主题指数A",2113,5.99,16.13
562,563,30681621,郝杰,80000252,天治基金,"003123,003124,008742,011850,350004","天治鑫利纯债债券A,天治鑫利纯债债券C,天治天得利货币B,天治天享66个月定开债,天治天得利货币A",979,42.02,6.22
563,564,30705027,贺剑,80041198,天弘基金,"010043,010044,011048,011049,011050,011051,012049,012050,012069,012070,013243,013244,013267,013268","天弘安康颐和混合A,天弘安康颐和混合C,天弘恒新混合A,天弘恒新混合C,天弘裕新混合A,天弘裕新混合C,天弘安盈一年持有A,天弘安盈一年持有C,天弘安康颐享12个月持有A,天弘安康颐享12个月持有C,天弘安康颐丰一年持有混合A,天弘安康颐丰一年持有混合C,天弘安康颐利混合A,天弘安康颐利混合C",678,171.26,7.55
564,565,30735322,胡骏,80000248,广发基金,"000826,000827,001734,001735","广发百发100指数A,广发百发100指数E,广发百发大数据成长混合A,广发百发大数据成长混合E",132,3.89,-23.39
565,566,30654674,何江波,80000251,景顺长城基金,"000252,000253,001750,003605,006764,008554,009235,009685,009871,012136,261001,261002,261101,261102","景顺长城景兴信用纯债债券A,景顺长城景兴信用纯债债券C,景顺长城景瑞收益债券A,景顺长城景泰汇利定开债A,景顺长城景泰鑫利纯债A,景顺长城景泰汇利定开债C,景顺长城弘远66个月定开债,景顺长城景泰宝利一年定开债,景顺长城景瑞收益债券C,景顺长城景泰鑫利纯债C,景顺长城稳定收益债券A,景顺长城优信增利债券A,景顺长城稳定收益债券C,景顺长城优信增利债券C",1181,158.56,14.03
566,567,30717058,黄继晨,80000226,博时基金,"009217,009218,501082","博时荣丰回报三年封闭混合A,博时荣丰回报三年封闭混合C,博时科创主题3年封闭混合",552,19.89,-9.82
567,568,30686368,黄济宽,80498278,汇安基金,"005556,005601,005602,006519,006520,006521,007211,010577,010578,015008,015009","汇安裕华定开债发起式,汇安中短债债券A,汇安中短债债券C,汇安短债债券A,汇安短债债券C,汇安短债债券E,汇安中短债债券E,汇安永福90天持有中短债A,汇安永福90天持有中短债C,汇安永利30天持有期短债A,汇安永利30天持有期短债C",909,115.93,9.92
568,569,30072562,黄纪亮,80000221,富国基金,"000191,000192,000469,000516,000517,006684,007075,007616,007617,007618,013524,013525,014671,014672,100018,100058,100072,100073,161014","富国信用债债券A/B,富国信用债债券C,富国目标齐利一年期纯债债券,富国祥利一年期定期开放债券型A,富国祥利一年期定期开放债券型C,富国信用债债券D,富国产业债券C,富国投资级信用债债券型A,富国投资级信用债债券型C,富国投资级信用债债券型D,富国悦享回报12个月持有期混合A,富国悦享回报12个月持有期混合C,富国裕利债券A,富国裕利债券C,富国天利增长债券,富国产业债券A,富国强回报定开债A/B,富国强回报定开债C,富国汇利回报两年定期开放债券",3360,715.28,82.21
569,570,30568688,黄婧丽,80560400,博远基金,"010096,010097,010098,013222,013223","博远鑫享三个月债券A,博远鑫享三个月债券C,博远鑫享三个月债券E,博远臻享3个月定开债券A,博远臻享3个月定开债券C",1415,54.04,1.17
570,571,30735294,侯嘉敏,80000236,宝盈基金,"000924,001543,007578,007579,007581,010751,010752,015574,015575,213001","宝盈先进制造混合A,宝盈新锐混合A,宝盈新锐混合C,宝盈先进制造混合C,宝盈鸿利收益灵活配置混合C,宝盈优质成长混合A,宝盈优质成长混合C,宝盈新能源产业混合发起式A,宝盈新能源产业混合发起式C,宝盈鸿利收益灵活配置混合A",327,37.37,-18.72
571,572,30489618,何家琪,80000222,华夏基金,"000014,000121,001001,001003,001011,001013,001045,001046,002166,002459,002460,010971,010972,011913,011914,012170,012171,012887","华夏聚利债券,华夏永福混合A,华夏债券A/B,华夏债券C,华夏希望债券A,华夏希望债券C,华夏可转债增强债券A,华夏可转债增强债券I,华夏永福混合C,华夏鼎利债券发起式A,华夏鼎利债券发起式C,华夏永鑫六个月持有期混合A,华夏永鑫六个月持有期混合C,华夏永泓一年持有混合A,华夏永泓一年持有混合C,华夏永顺一年持有混合A,华夏永顺一年持有混合C,华夏可转债增强债券C",2073,244.99,59.63
572,573,30692896,黄健生,80000229,易方达基金,"012080,012081","易方达中证500指数量化增强A,易方达中证500指数量化增强C",789,6.13,-19.35
573,574,30711020,黄佳祥,80380794,创金合信基金,"001199,001200,002337,003749,003750,006906,009459,013728,013729,014378,014379","创金合信聚利债券A,创金合信聚利债券C,创金合信季安鑫3个月A,创金合信鑫收益混合A,创金合信鑫收益混合C,创金合信鑫收益混合E,创金合信季安鑫3个月C,创金合信恒宁30天滚动持有短债债券A,创金合信恒宁30天滚动持有短债债券C,创金合信尊睿债券A,创金合信尊睿债券C",627,58.03,6.78
574,575,30079649,何康,80000220,南方基金,"000086,000563,000564,000720,003938,003939,005476,006517,006518,006742,007567,007568,008226,008632,013257,013258,014290","南方稳利1年定开债A,南方通利债券A,南方通利债券C,南方稳利1年定开债C,南方荣尊混合A,南方荣尊混合C,南方涪利定开债,南方吉元短债A,南方吉元短债C,南方臻元债券,南方恒新39个月A,南方恒新39个月C,南方远利3个月定开债,南方吉元短债E,南方通元6个月持有债券A,南方通元6个月持有债券C,南方晨利一年定开债券发起",2731,124.64,28.94
575,576,30283331,何凯,80000226,博时基金,"050030,050202,050203","博时亚洲票息收益债券,博时亚洲票息收益债券现汇,博时亚洲票息收益债券现钞",2960,18.89,43.23
576,577,30546387,韩克,80168726,平安基金,"001609,001610,002282,005897,006457,006458,007663,007925,008595,008726,008727,010239,010244","平安鑫享混合A,平安鑫享混合C,平安安享灵活配置混合A,平安合颖定开债,平安估值优势混合A,平安估值优势混合C,平安安享灵活配置混合C,平安鑫享混合E,平安惠智纯债债券,平安添裕债券A,平安添裕债券C,平安瑞尚六个月持有混合A,平安瑞尚六个月持有混合C",1345,51.63,6.9
577,578,30759306,黄侃,80066058,中信建投证券,"970016,970017","中信建投价值增长A,中信建投价值增长C",70,20.46,-19.33
578,579,30042438,黄亮,80000220,南方基金,"007109,012584,012585,202801","南方沪港深核心优势混合,南方中国新兴经济9个月持有期混合(QDII)A,南方中国新兴经济9个月持有期混合(QDII)C,南方全球精选配置",4700,22.99,48.57
579,580,30065817,洪流,80000223,嘉实基金,"007895,010361,010362,010437,010438,011246,011247,011841,011842,070011,070015,070016,501088,501091","嘉实价值成长混合,嘉实品质优选股票A,嘉实品质优选股票C,嘉实竞争力优选混合A,嘉实竞争力优选混合C,嘉实阿尔法优选混合A,嘉实阿尔法优选混合C,嘉实兴锐优选一年持有混合A,嘉实兴锐优选一年持有混合C,嘉实策略混合,嘉实多元债券A,嘉实多元债券B,嘉实瑞虹三年定期混合,嘉实瑞熙三年封闭运作混合A",2547,243.55,23.41
580,581,30276858,黄力,80355783,国寿安保基金管理,"004797,005208,007837,007838,009309,009310,009581,009582,010541,010542,010934,010935,010984,010985,011510,011511","国寿安保安盛纯债3个月定开债,国寿安保安裕纯债半年定开债,国寿安保尊耀纯债A,国寿安保尊耀纯债C,国寿安保尊庆6个月持有期债券A,国寿安保尊庆6个月持有期债券C,国寿中债3-5年政金债指数A,国寿中债3-5年政金债指数C,国寿安保稳和6个月持有期混合A,国寿安保稳和6个月持有期混合C,国寿安保稳福6个月持有期混合A,国寿安保稳福6个月持有期混合C,国寿安保稳安混合A,国寿安保稳安混合C,国寿安保稳鑫一年持有混合A,国寿安保稳鑫一年持有混合C",3032,225.02,24.1
581,582,30366117,何龙,80000231,融通基金,"005618,005619,008837,009241,010395,010396,010646,010647,010807,012525,161601,161610","融通红利机会主题精选混合A,融通红利机会主题精选混合C,融通通益混合,融通领先成长混合(LOF)C,融通稳健添盈灵活配置混合A,融通稳健添盈灵活配置混合C,融通价值趋势混合A,融通价值趋势混合C,融通稳信增益6个月持有期混合A,融通稳信增益6个月持有期混合C,融通新蓝筹混合,融通领先成长混合(LOF)A",2446,38.73,86.28
582,583,30442421,韩林,80000239,长城基金,"010284,010285","长城价值成长六个月持有期混合A,长城价值成长六个月持有期混合C",2091,7.14,-29.02
583,584,30573382,华李成,80065113,中欧基金,"002009,002010,007622,007623,010188,010189,010712,010713,011393,011394,012281,014000,014001,014657,014658,015098,015099","中欧瑾通灵活配置混合A,中欧瑾通灵活配置混合C,中欧滚利一年滚动持有债券A,中欧滚利一年滚动持有债券C,中欧添益一年混合A,中欧添益一年混合C,中欧瑾利混合A,中欧瑾利混合C,中欧融益稳健一年混合A,中欧融益稳健一年混合C,中欧精益稳健一年持有混合,中欧丰利债券A,中欧丰利债券C,中欧融享增益一年持有期混合A,中欧融享增益一年持有期混合C,中欧鑫享鼎益一年持有混合A,中欧鑫享鼎益一年持有混合C",1503,227.93,34.15
584,585,30277899,黄立华,80067635,汇丰晋信基金,540006,汇丰晋信大盘股票A,1353,17.12,-9.95
585,586,30362198,韩丽楠,80000222,华夏基金,"002409,002410,004046,004047,004048,004049,005886,005887,008947,008948,010979,010980","华夏新活力混合A,华夏新活力混合C,华夏新锦顺混合A,华夏新锦顺混合C,华夏新锦汇混合A,华夏新锦汇混合C,华夏鼎沛债券A,华夏鼎沛债券C,华夏鼎源债券A,华夏鼎源债券C,华夏鼎润债券A,华夏鼎润债券C",2346,14.57,-2.87
586,587,30304244,何林泽,80555446,南华基金,"004845,004846,005047,005048,008345,008346,010278,010279,011464,011465","南华瑞盈混合发起A,南华瑞盈混合发起C,南华瑞扬纯债A,南华瑞扬纯债C,南华瑞泽债券A,南华瑞泽债券C,南华瑞泰39个月定开A,南华瑞泰39个月定开C,南华瑞利债券A,南华瑞利债券C",377,68.63,3.24
