,序号,ID,姓名,所属公司ID,所属公司,基金ID,现任基金,累计从业时间,现任基金资产总规模,现任基金最佳回报
50,51,30672361,陈亘斯,80000227,长盛基金,"001834,004397,010991,080006,080007,080008,080015,160806,160807,160814,502013,502040,502053,519100","长盛战略新兴产业混合C,长盛信息安全量化策略混合,长盛同鑫行业配置混合C,长盛环球行业混合(QDII),长盛同鑫行业配置混合A,长盛战略新兴产业混合A,长盛中小盘精选混合,长盛同庆中证800(LOF),长盛沪深300指数(LOF),长盛中证金融地产指数(LOF),长盛中证申万一带一路指数(LOF),长盛上证50指数(LOF),长盛中证全指证券指数(LOF),长盛中证100指数",1076,17.77,44.94
51,52,30189737,陈皓,80000229,易方达基金,"001018,001076,009341,012346,012347,110001,110013,501203","易方达新经济混合,易方达改革红利混合,易方达均衡成长股票,易方达港股通成长混合A,易方达港股通成长混合C,易方达平稳增长混合,易方达科翔混合,易方达创新未来混合(LOF)",3511,322.95,406.75
52,53,30547037,陈恒,80053204,华商基金,"001723,008107","华商新动力混合,华商医药医疗行业股票",1749,2.32,-7.49
53,54,30674080,陈涵,80064225,工银瑞信基金,"003385,003386,003387,006738,006739,007078,007079,007122,007123,007124,007125,007284,007285,009421,009422,012165,012166,012168,012169,012172,012336,012337","工银全球美元债A人民币,工银全球美元债A美元现汇,工银全球美元债C,工银瑞信添慧债券A,工银瑞信添慧债券C,工银3-5年国开债指数A,工银3-5年国开债指数C,工银1-3年国开债指数A,工银1-3年国开债指数C,工银1-3年农发债指数A,工银1-3年农发债指数C,工银中债1-5年进出口行A,工银中债1-5年进出口行C,工银彭博国开债1-3年指数A,工银彭博国开债1-3年指数C,工银彭博国开债1-3年指数E,工银1-3年农发债指数E,工银中债1-5年进出口行E,工银3-5年国开债指数E,工银1-3年国开债指数E,工银稳健回报60天持有期短债A,工银稳健回报60天持有期短债C",1055,160.22,11.86
54,55,30723878,陈红,80036742,兴证全球基金,"010981,010982,011336,011337,014900,014901","兴全汇虹一年持有混合A,兴全汇虹一年持有混合C,兴全汇吉一年持有混合A,兴全汇吉一年持有混合C,兴证全球兴裕混合A,兴证全球兴裕混合C",455,61.98,8.29
55,56,30726302,陈皓,80365985,北信瑞丰,"000871,000872,000981,000982,002745","北信瑞丰宜投宝A,北信瑞丰宜投宝B,北信瑞丰现金添利A,北信瑞丰现金添利B,北信瑞丰丰利混合",428,33.25,4.17
56,57,30752777,陈浩,80351991,鑫元基金,"000910,000911,001601,001602,006142,006993,007092,007093,007324,007325,007559","鑫元合丰纯债C,鑫元合丰纯债A,鑫元鑫新收益灵活配置混合A,鑫元鑫新收益灵活配置混合C,鑫元淳利定期开放债券,鑫元承利三个月定开债,鑫元中债3-5年国开债指数A,鑫元中债3-5年国开债指数C,鑫元中债1-3年国开债指数A,鑫元中债1-3年国开债指数C,鑫元富利三个月定期开放债",148,127.32,1.78
57,58,30674014,程卉超,80560396,合煦智远基金,"007287,007288,168701,168702","合煦智远消费主题股票发起式A,合煦智远消费主题股票发起式C,合煦智远金融科技指数(LOF)A,合煦智远金融科技指数(LOF)C",1042,1.13,2.55
58,59,30655605,陈鸿平,80075936,中邮基金,006477,中邮沪港深精选混合,1139,0.05,-23.78
59,60,30483498,陈会荣,80000225,大成基金,"000626,000627,000724,000725,000726,001497,004117,090005,090021,090022,091005,091021,091022","大成丰财宝货币A,大成丰财宝货币B,大成添利宝货币A,大成添利宝货币B,大成添利宝货币E,大成月添利一个月滚动持有中短债E,大成惠祥纯债债券,大成货币A,大成月添利一个月滚动持有中短债A,大成现金增利货币A,大成货币B,大成月添利一个月滚动持有中短债B,大成现金增利货币B",2103,658.44,18.46
60,61,30753007,陈怀逸,80000250,华宝基金,010114,华宝新兴成长混合,147,3.26,-31.73
61,62,30040179,陈军,80048161,东吴基金,"010330,011462","东吴兴享成长混合A,东吴兴享成长混合C",5429,11.63,-14.52
62,63,30199302,曹晋,80000221,富国基金,"000940,009914,012477,012478,100039,161040","富国中小盘精选混合,富国成长动力混合,富国匠心精选12个月持有混合A,富国匠心精选12个月持有混合C,富国通胀通缩主题轮动混合,富国创业板两年定开混合",3183,65.93,125.1
63,64,30562202,成钧,80168726,平安基金,"004403,004404,005639,005640,005868,005869,006214,006215,012698,012699,012722,012723,159718,159719,159832,159964,159988,510390,510590,511020,511030,512360,512970","平安股息精选沪港深A,平安股息精选沪港深C,平安300ETF联接A,平安300ETF联接C,平安MSCI中国A股ETF联接A,平安MSCI中国A股ETF联接C,平安500ETF联接A,平安500ETF联接C,平安中证新能源汽车ETF发起联接A,平安中证新能源汽车ETF发起联接C,平安中证光伏产业指数A,平安中证光伏产业指数C,平安中证港股通医药卫生综合ETF,平安富时中国国企开放共赢ETF,平安上海金ETF,平安创业板ETF,平安中债-0-5年地方债ETF,平安沪深300ETF,平安中证500ETF,平安中证5-10年国债活跃券ETF,平安中债债利差因子ETF,平安MSCI中国A股国际ETF,平安粤港澳大湾区ETF",1597,111.68,43.69
64,65,30692443,蔡静,80048752,中银基金,"000699,002195,163802,163820","中银薪钱包货币,中银机构现金管理货币,中银货币A,中银货币B",799,772.07,4.94
65,66,30758864,陈佶,80701749,达诚基金管理,"013964,013965","达诚定海双月享60天滚动持有短债A,达诚定海双月享60天滚动持有短债C",49,2.18,0.32
66,67,30058304,崔建波,80174741,方正富邦基金,"008602,008603,010072,010073,011501,011502,012913,012914,013078,013079,013712,013713,013714,013715","方正富邦新兴成长混合A,方正富邦新兴成长混合C,方正富邦策略精选A,方正富邦策略精选C,方正富邦汇福一年定开混合A,方正富邦汇福一年定开混合C,方正富邦趋势领航混合A,方正富邦趋势领航混合C,方正富邦策略轮动混合A,方正富邦策略轮动混合C,方正富邦鑫益一年定开混合A,方正富邦鑫益一年定开混合C,方正富邦泰利12个月持有混合A,方正富邦泰利12个月持有混合C",4290,34.12,-0.23
67,68,30716731,陈健宾,80000251,景顺长城基金,"001362,001379,002796,002797,003504,003505,004707,004719,005325,005326,005327,006065,006681,010527,014973,014974","景顺长城领先回报混合A,景顺长城领先回报混合C,景顺长城景盈双利债券A,景顺长城景盈双利债券C,景顺长城景颐丰利债券A,景顺长城景颐丰利债券C,景顺长城睿成混合A,景顺长城睿成混合C,景顺长城泰恒回报混合A,景顺长城泰恒回报混合C,景顺长城景泰稳利定开债A,景顺长城景泰稳利定开债C,景顺长城景泰聚利纯债,景顺长城景泰优利一年定开纯债,景顺长城景泰悦利三个月定开债A,景顺长城景泰悦利三个月定开债C",437,114.59,4.75
68,69,30733023,陈锦达,80385906,红土创新基金,180301,红土盐田港REIT,337,18.62,
69,70,30586262,陈健夫,80036797,摩根士丹利华鑫基金,"008305,233015","大摩量化配置混合C,大摩量化配置混合A",1378,1.67,10.14
70,71,30105820,陈建华,80000250,华宝基金,"007405,012537,012538,013471,013472,013473,013474,013475,013476,013477,013478,159851,159876,240014,516020,516360,516380","华宝中证100指数C,华宝中证细分化工产业主题ETF联接A,华宝中证细分化工产业主题ETF联接C,华宝中证全指农牧渔指数发起式A,华宝中证全指农牧渔指数发起式C,华宝中证新材料ETF发起式联接A,华宝中证新材料ETF发起式联接C,华宝中证智能电动汽车ETF发起式联接A,华宝中证智能电动汽车ETF发起式联接C,华宝中证金融科技主题ETF发起式联接A,华宝中证金融科技主题ETF发起式联接C,华宝中证金融科技主题ETF,华宝有色金属ETF,华宝中证100指数A,华宝化工ETF,华宝新材料ETF,华宝智能电动汽车ETF",3426,22.46,124.13
71,72,30393484,陈俊华,80064562,交银施罗德基金,"006202,010890,010891,011256,011257,012833,012834,013248,013249,519696,519779","交银核心资产混合,交银鸿福六个月持有混合A,交银鸿福六个月持有混合C,交银鸿光一年混合A,交银鸿光一年混合C,交银鸿信一年持有期混合A,交银鸿信一年持有期混合C,交银鸿泰一年持有期混合A,交银鸿泰一年持有期混合C,交银环球精选混合(QDII),交银沪港深价值精选混合",2362,68.16,81.91
72,73,30622569,陈建华,80043374,国联安基金,"004081,004082,004083,004084,007999,008000,008877,008900,010817,010818,012807,253020,253021","国联安鑫乾混合A,国联安鑫乾混合C,国联安鑫隆混合A,国联安鑫隆混合C,国联安恒利63个月定开债A,国联安恒利63个月定开债C,国联安增盛一年定开债,国联安增泰一年定开债发起式,国联安鑫稳3个月持有混合A,国联安鑫稳3个月持有混合C,国联安恒鑫3个月定开债,国联安增利债券A,国联安增利债券B",1267,119.52,92.28
73,74,30734834,曹建华,80351991,鑫元基金,"000578,000579,000896,000897,002632,002633,004944,004948,005780,005949,005950,014284","鑫元恒鑫收益增强债券型发起式A,鑫元恒鑫收益增强债券型发起式C,鑫元聚鑫收益增强债A,鑫元聚鑫收益增强债C,鑫元双债增强债券A,鑫元双债增强债券C,鑫元鑫趋势灵活配置混合A,鑫元鑫趋势灵活配置混合C,鑫元增利定开债发起式,鑫元行业轮动混合A,鑫元行业轮动混合C,鑫元皓利一年定期开放债券",334,19.83,2.15
74,75,30198507,崔俊杰,80000251,景顺长城基金,"000688,001361,004707,004719,512220,513980","景顺长城研究精选股票,景顺中证科技传媒通信150ETF联接,景顺长城睿成混合A,景顺长城睿成混合C,景顺中证科技传媒通信150ETF,景顺长城中证港股通科技ETF",3112,17.62,17.44
75,76,30367576,陈建军,80380794,创金合信基金,"003190,003191","创金合信消费主题股票A,创金合信消费主题股票C",1076,2.31,57.47
76,77,30592174,陈纪靖,80205263,红塔红土,"010294,010295,010733,010734","红塔红土盛兴39个月定开债A,红塔红土盛兴39个月定开债C,红塔红土瑞景纯债A,红塔红土瑞景纯债C",1153,21.78,3.83
77,78,30276097,陈建良,80065990,建信基金,"000686,000693,002753,002758,003022,003164,003391,003392,003393,004570,008022,010727,011222,013075,013076,014250,014251,511660,530028,531028","建信嘉薪宝货币A,建信现金添利货币A,建信嘉薪宝货币B,建信现金增利货币A,建信现金添益货币A,建信现金添利货币B,建信天添益货币A,建信天添益货币B,建信天添益货币C,建信结算宝货币,建信短债债券F,建信现金增利货币B,建信现金添益货币C,建信鑫悦90天滚动中短债A,建信鑫悦90天滚动中短债C,建信鑫怡90天滚动持有中短债债券A,建信鑫怡90天滚动持有中短债债券C,建信现金添益货币H,建信短债债券C,建信短债债券A",3073,5549.88,28.2
78,79,30639173,蔡健林,80053708,汇添富基金,"006763,007059,007060,012190,012743,013155,013512,014093,015241,015242","汇添富养老2030混合(FOF),汇添富养老2040五年持有混合(FOF),汇添富养老2050混合(FOF),汇添富添福盈和稳健养老一年持有混合(FOF),汇添富添福睿选稳健养老目标一年持有混合(FOF),汇添富添福汇盈稳健养老目标一年持有混合(FOF),汇添富添福增长稳健养老目标一年持有混合(FOF),添富添福睿享稳健一年持有混合(FOF),添富鑫添利6个月持有混合(FOF)A,添富鑫添利6个月持有混合(FOF)C",1230,78.61,36.72
